S(A^-1)	Itot
0.020142465596894497	252.00662231445312
0.060427396790683485	245.18638610839844
0.10071232798447248	238.51907348632812
0.14099725917826145	232.03482055664062
0.18128219037205046	225.7637481689453
0.22156712156583944	219.7360076904297
0.26185205275962836	213.9817352294922
0.30213698395341737	208.5310516357422
0.3424219151472064	203.41412353515625
0.3827068463409954	198.66107177734375
0.42299177753478445	194.29095458984375
0.4632767087285734	190.45492553710938
0.5035616399223624	187.0966796875
0.5438465711161514	184.21664428710938
0.5841315023099404	181.81837463378906
0.6244164335037294	179.88157653808594
0.6647013646975184	178.47708129882812
0.7049862958913073	177.5315399169922
0.7452712270850963	177.01734924316406
0.7855561582788853	176.89210510253906
0.8258410894726742	177.1572265625
0.8661260206664632	177.78579711914062
0.9064109518602521	178.666259765625
0.9466958830540412	179.8426055908203
0.98698081424783	181.26939392089844
1.0272657454416192	182.83087158203125
1.0675506766354081	184.56793212890625
1.107835607829197	186.37319946289062
1.148120539022986	188.19688415527344
1.188405470216775	190.11253356933594
1.2286904014105642	192.0207061767578
1.2689753326043531	193.82357788085938
1.309260263798142	195.5446319580078
1.349545194991931	197.1475830078125
1.38983012618572	198.6595001220703
1.430115057379509	200.00404357910156
1.4703999885732981	201.14346313476562
1.5106849197670869	202.05320739746094
1.550969850960876	202.840576171875
1.591254782154665	203.4659881591797
1.6315397133484542	203.8648681640625
1.671824644542243	204.06582641601562
1.712109575736032	204.0886993408203
1.7523945069298212	203.9471893310547
1.79267943812361	203.6224822998047
1.832964369317399	203.1237030029297
1.873249300511188	202.4781036376953
1.913534231704977	201.75350952148438
1.9538191628987658	200.84710693359375
1.9941040940925552	199.82254028320312
2.034389025286344	198.71690368652344
2.074673956480133	197.50369262695312
2.114958887673922	196.19662475585938
2.155243818867711	194.80136108398438
2.1955287500615	193.35983276367188
2.235813681255289	191.8784942626953
2.276098612449078	190.41482543945312
2.3163835436428672	188.90301513671875
2.3566684748366558	187.29800415039062
2.3969534060304447	185.72381591796875
2.437238337224234	184.19091796875
2.477523268418023	182.62057495117188
2.517808199611812	181.0227508544922
2.558093130805601	179.42942810058594
2.59837806199939	177.87158203125
2.638662993193179	176.30010986328125
2.678947924386968	174.739013671875
2.719232855580757	173.21609497070312
2.7595177867745457	171.65513610839844
2.799802717968335	170.07093811035156
2.8400876491621236	168.54676818847656
2.8803725803559126	167.03152465820312
2.920657511549702	165.5768585205078
2.960942442743491	164.09762573242188
3.0012273739372795	162.62771606445312
3.041512305131069	161.14259338378906
3.081797236324858	159.69775390625
3.1220821675186468	158.37857055664062
3.1623670987124357	157.04647827148438
3.202652029906224	155.7381134033203
3.2429369611000136	154.4621124267578
3.283221892293802	153.22361755371094
3.323506823487591	152.08233642578125
3.3637917546813805	150.9437713623047
3.404076685875169	149.8528289794922
3.4443616170689584	148.7665252685547
3.4846465482627473	147.72866821289062
3.524931479456536	146.84669494628906
3.5652164106503252	146.0497589111328
3.605501341844114	145.25262451171875
3.6457862730379027	144.50552368164062
3.686071204231692	143.77622985839844
3.7263561354254815	143.071044921875
3.76664106661927	142.3934783935547
3.806925997813059	141.77940368652344
3.8472109290068484	141.18775939941406
3.887495860200637	140.52394104003906
3.927780791394426	139.91290283203125
3.968065722588215	139.3004608154297
4.008350653782005	138.65379333496094
4.048635584975793	137.9548797607422
4.0889205161695825	137.19618225097656
4.129205447363371	136.37779235839844
4.1694903785571595	135.4483642578125
4.209775309750949	134.53794860839844
4.250060240944738	133.58790588378906
4.290345172138527	132.46145629882812
4.330630103332316	131.22190856933594
4.370915034526106	129.86172485351562
4.411199965719894	128.34078979492188
4.451484896913683	126.6976547241211
4.491769828107472	124.92897033691406
4.532054759301261	123.00617980957031
4.57233969049505	120.93268585205078
4.612624621688839	118.71099853515625
4.652909552882628	116.40261840820312
4.693194484076417	113.96017456054688
4.733479415270206	111.3736572265625
4.773764346463994	108.6659927368164
4.814049277657784	105.84671020507812
4.854334208851573	102.90713500976562
4.894619140045362	99.9149169921875
4.934904071239151	96.89502716064453
4.97518900243294	93.79093170166016
5.015473933626729	90.64710998535156
5.055758864820518	87.48125457763672
5.096043796014307	84.28827667236328
5.136328727208095	81.15289306640625
5.176613658401885	78.06929016113281
5.216898589595674	75.04261779785156
5.257183520789463	72.07856750488281
5.297468451983252	69.19978332519531
5.337753383177041	66.42546844482422
5.37803831437083	63.77449035644531
5.418323245564618	61.28673553466797
5.458608176758408	58.93413162231445
5.498893107952196	56.72634506225586
5.539178039145986	54.69511413574219
5.579462970339775	52.81013107299805
5.619747901533564	51.12963104248047
5.660032832727353	49.61756134033203
5.7003177639211415	48.30202102661133
5.74060269511493	47.18181610107422
5.780887626308719	46.25242614746094
5.821172557502509	45.50485610961914
5.861457488696297	44.964900970458984
5.901742419890087	44.54873275756836
5.942027351083876	44.26253128051758
5.982312282277665	44.08489227294922
6.022597213471453	43.99220657348633
6.062882144665243	43.96785354614258
6.103167075859031	43.99079895019531
6.1434520070528205	44.04031753540039
6.18373693824661	44.1008415222168
6.224021869440398	44.149044036865234
6.264306800634188	44.2928466796875
6.304591731827976	44.36130905151367
6.344876663021765	44.404823303222656
6.385161594215554	44.40193557739258
6.425446525409344	44.336875915527344
6.465731456603134	44.202213287353516
6.506016387796922	43.986854553222656
6.546301318990711	43.68163299560547
6.5865862501845	43.27956771850586
6.626871181378289	42.76907730102539
6.667156112572077	42.14243698120117
6.707441043765868	41.406402587890625
6.747725974959656	40.55510711669922
6.788010906153445	39.591209411621094
6.828295837347234	38.51027297973633
6.8685807685410225	37.402198791503906
