s	Iatom
0.020142465596894497	254.95721
0.060427396790683485	254.80211
0.10071232798447248	254.49287
0.14099725917826145	254.03043
0.18128219037205046	253.41605
0.22156712156583944	252.6512
0.26185205275962836	251.73811
0.30213698395341737	250.67926
0.3424219151472064	249.47754
0.3827068463409954	248.13654
0.42299177753478445	246.66016
0.4632767087285734	245.05196
0.5035616399223624	243.31625
0.5438465711161514	241.4577
0.5841315023099404	239.48073
0.6244164335037294	237.39069
0.6647013646975184	235.19302
0.7049862958913073	232.89299
0.7452712270850963	230.49565
0.7855561582788853	228.00679
0.8258410894726742	225.43213
0.8661260206664632	222.77692
0.9064109518602521	220.04767
0.9466958830540412	217.25003
0.98698081424783	214.38928
1.0272657454416192	211.47119
1.0675506766354081	208.50125
1.107835607829197	205.48497
1.148120539022986	202.42776
1.188405470216775	199.33562
1.2286904014105642	196.21304
1.2689753326043531	193.06505
1.309260263798142	189.89662
1.349545194991931	186.71222
1.38983012618572	183.51637
1.430115057379509	180.31375
1.4703999885732981	177.10863
1.5106849197670869	173.90436
1.550969850960876	170.70508
1.591254782154665	167.51428
1.6315397133484542	164.33502
1.671824644542243	161.17091
1.712109575736032	158.02504
1.7523945069298212	154.89998
1.79267943812361	151.79825
1.832964369317399	148.72249
1.873249300511188	145.67479
1.913534231704977	142.65717
1.9538191628987658	139.67207
1.9941040940925552	136.7209
2.034389025286344	133.80522
2.074673956480133	130.92656
2.114958887673922	128.0861
2.155243818867711	125.284935
2.1955287500615	122.52435
2.235813681255289	119.80543
2.276098612449078	117.12853
2.3163835436428672	114.4945
2.3566684748366558	111.90393
2.3969534060304447	109.35701
2.437238337224234	106.85438
2.477523268418023	104.39641
2.517808199611812	101.98323
2.558093130805601	99.61483
2.59837806199939	97.29136
2.638662993193179	95.01263
2.678947924386968	92.77853
2.719232855580757	90.58925
2.7595177867745457	88.44434
2.799802717968335	86.34348
2.8400876491621236	84.28651
2.8803725803559126	82.27294
2.920657511549702	80.30231
2.960942442743491	78.37437
3.0012273739372795	76.48873
3.041512305131069	74.64468
3.081797236324858	72.84179
3.1220821675186468	71.079544
3.1623670987124357	69.35722
3.202652029906224	67.67446
3.2429369611000136	66.030685
3.283221892293802	64.42514
3.323506823487591	62.857227
3.3637917546813805	61.326385
3.404076685875169	59.831856
3.4443616170689584	58.372974
3.4846465482627473	56.949318
3.524931479456536	55.560055
3.5652164106503252	54.20454
3.605501341844114	52.882156
3.6457862730379027	51.59214
3.686071204231692	50.333862
3.7263561354254815	49.10677
3.76664106661927	47.91019
3.806925997813059	46.74338
3.8472109290068484	45.605812
3.887495860200637	44.49677
3.927780791394426	43.415546
3.968065722588215	42.36169
4.008350653782005	41.33452
4.048635584975793	40.333366
4.0889205161695825	39.35769
4.129205447363371	38.40685
4.1694903785571595	37.480225
4.209775309750949	36.577297
4.250060240944738	35.697556
4.290345172138527	34.84033
4.330630103332316	34.005104
4.370915034526106	33.191357
4.411199965719894	32.400524
4.451484896913683	31.620695
4.491769828107472	30.862392
4.532054759301261	30.125563
4.57233969049505	29.40848
4.612624621688839	28.71036
4.652909552882628	28.030525
4.693194484076417	27.368505
4.733479415270206	26.723799
4.773764346463994	26.095835
4.814049277657784	25.484259
4.854334208851573	24.888546
4.894619140045362	24.308271
4.934904071239151	23.74307
4.97518900243294	23.192518
5.015473933626729	22.65622
5.055758864820518	22.13378
5.096043796014307	21.624846
5.136328727208095	21.129017
5.176613658401885	20.64599
5.216898589595674	20.175423
5.257183520789463	19.716913
5.297468451983252	19.270208
5.337753383177041	18.83494
5.37803831437083	18.410784
5.418323245564618	17.99751
5.458608176758408	17.594782
5.498893107952196	17.202297
5.539178039145986	16.819798
5.579462970339775	16.447
5.619747901533564	16.083649
5.660032832727353	15.72951
5.7003177639211415	15.387731
5.74060269511493	15.0522375
5.780887626308719	14.724322
5.821172557502509	14.404803
5.861457488696297	14.093223
5.901742419890087	13.789402
5.942027351083876	13.493089
5.982312282277665	13.204056
6.022597213471453	12.922188
6.062882144665243	12.647205
6.103167075859031	12.378932
6.1434520070528205	12.117222
6.18373693824661	11.861921
6.224021869440398	11.612818
6.264306800634188	11.369899
6.304591731827976	11.133376
6.344876663021765	10.902583
6.385161594215554	10.67738
6.425446525409344	10.457604
6.465731456603134	10.243118
6.506016387796922	10.03378
6.546301318990711	9.829438
6.5865862501845	9.6299715
6.626871181378289	9.435252
6.667156112572077	9.245148
6.707441043765868	9.059525
6.747725974959656	8.878252
6.788010906153445	8.701245
6.828295837347234	8.52838
6.8685807685410225	8.3595085
6.908865699734811	8.194543
6.949150630928601	8.033375
6.98943556212239	7.8758707
7.029720493316178	7.7219296
7.070005424509969	7.5714264
7.110290355703757	7.424202
7.150575286897546	7.2801814
7.190860218091335	7.139049
7.2311451492851235	7.0010915
7.271430080478912	6.867897
7.311715011672702	6.7378373
7.351999942866491	6.610725
7.392284874060279	6.4864926
7.432569805254069	6.3650665
7.472854736447857	6.246378
7.513139667641646	6.130351
7.553424598835436	6.016932
7.5937095300292246	5.905989
7.633994461223013	5.7975616
7.674279392416803	5.691498
7.714564323610592	5.587865
7.75484925480438	5.4865427
7.79513418599817	5.3873944
7.835419117191958	5.290549
7.875704048385749	5.1960254
7.915988979579537	5.10371
7.956273910773326	5.013761
7.996558841967115	4.926911
8.036843773160903	4.8500786
