s	Imol
0.020142465596894497	254.6959
0.060427396790683485	253.59554
0.10071232798447248	251.41174
0.14099725917826145	248.17026
0.18128219037205046	243.90845
0.22156712156583944	238.67387
0.26185205275962836	232.527
0.30213698395341737	225.53676
0.3424219151472064	217.7808
0.3827068463409954	209.34555
0.42299177753478445	200.32281
0.4632767087285734	190.80423
0.5035616399223624	180.88644
0.5438465711161514	170.66771
0.5841315023099404	160.24294
0.6244164335037294	149.70872
0.6647013646975184	139.15756
0.7049862958913073	128.67557
0.7452712270850963	118.34201
0.7855561582788853	108.23224
0.8258410894726742	98.4138
0.8661260206664632	88.944435
0.9064109518602521	79.87818
0.9466958830540412	71.25717
0.98698081424783	63.114326
1.0272657454416192	55.475883
1.0675506766354081	48.35955
1.107835607829197	41.775436
1.148120539022986	35.72654
1.188405470216775	30.210375
1.2286904014105642	25.21591
1.2689753326043531	20.728182
1.309260263798142	16.72795
1.349545194991931	13.191611
1.38983012618572	10.092999
1.430115057379509	7.4038258
1.4703999885732981	5.0938783
1.5106849197670869	3.1315916
1.550969850960876	1.4857236
1.591254782154665	0.12492168
1.6315397133484542	-0.9815726
1.671824644542243	-1.8631835
1.712109575736032	-2.5481102
1.7523945069298212	-3.0629663
1.79267943812361	-3.4324257
1.832964369317399	-3.6791358
1.873249300511188	-3.8237104
1.913534231704977	-3.8846333
1.9538191628987658	-3.878303
1.9941040940925552	-3.8190982
2.034389025286344	-3.7194374
2.074673956480133	-3.5899153
2.114958887673922	-3.439427
2.155243818867711	-3.275322
2.1955287500615	-3.1035864
2.235813681255289	-2.9289763
2.276098612449078	-2.7551453
2.3163835436428672	-2.5848713
2.3566684748366558	-2.4201639
2.3969534060304447	-2.2623847
2.437238337224234	-2.1124318
2.477523268418023	-1.9708005
2.517808199611812	-1.8376869
2.558093130805601	-1.7130768
2.59837806199939	-1.5968333
2.638662993193179	-1.4887247
2.678947924386968	-1.3884922
2.719232855580757	-1.295889
2.7595177867745457	-1.2106614
2.799802717968335	-1.1325973
2.8400876491621236	-1.0615324
2.8803725803559126	-0.9973313
2.920657511549702	-0.93989605
2.960942442743491	-0.8891613
3.0012273739372795	-0.8450719
3.041512305131069	-0.8075687
3.081797236324858	-0.7765899
3.1220821675186468	-0.75204813
3.1623670987124357	-0.73381996
3.202652029906224	-0.72174096
3.2429369611000136	-0.7155903
3.283221892293802	-0.71508795
3.323506823487591	-0.71989226
3.3637917546813805	-0.72959656
3.404076685875169	-0.7437318
3.4443616170689584	-0.7617685
3.4846465482627473	-0.783118
3.524931479456536	-0.80714834
3.5652164106503252	-0.83318526
3.605501341844114	-0.86052364
3.6457862730379027	-0.88844144
3.686071204231692	-0.9162058
3.7263561354254815	-0.94308484
3.76664106661927	-0.9683646
3.806925997813059	-0.9913588
3.8472109290068484	-1.0114146
3.887495860200637	-1.0279305
3.927780791394426	-1.0403608
3.968065722588215	-1.0482229
4.008350653782005	-1.0511097
4.048635584975793	-1.048691
4.0889205161695825	-1.0407196
4.129205447363371	-1.0270329
4.1694903785571595	-1.0075543
4.209775309750949	-0.98229593
4.250060240944738	-0.9513572
4.290345172138527	-0.91491383
4.330630103332316	-0.87322485
4.370915034526106	-0.82662165
4.411199965719894	-0.7756348
4.451484896913683	-0.7199132
4.491769828107472	-0.6606828
4.532054759301261	-0.59857124
4.57233969049505	-0.5340969
4.612624621688839	-0.4678634
4.652909552882628	-0.40049234
4.693194484076417	-0.33262786
4.733479415270206	-0.26490512
4.773764346463994	-0.19793712
4.814049277657784	-0.132337
4.854334208851573	-0.06866898
4.894619140045362	-0.007470758
4.934904071239151	0.050758034
4.97518900243294	0.10557362
5.015473933626729	0.1565833
5.055758864820518	0.20345266
5.096043796014307	0.24590334
5.136328727208095	0.28372368
5.176613658401885	0.3167574
5.216898589595674	0.34491464
5.257183520789463	0.36816964
5.297468451983252	0.386548
5.337753383177041	0.40013787
5.37803831437083	0.40907708
5.418323245564618	0.4135513
5.458608176758408	0.41379237
5.498893107952196	0.4100692
5.539178039145986	0.40268412
5.579462970339775	0.39196667
5.619747901533564	0.378268
5.660032832727353	0.36195612
5.7003177639211415	0.34360388
5.74060269511493	0.32328045
5.780887626308719	0.30142656
5.821172557502509	0.27847418
5.861457488696297	0.2547655
5.901742419890087	0.23064515
5.942027351083876	0.20643148
5.982312282277665	0.1824211
6.022597213471453	0.15889321
6.062882144665243	0.13608481
6.103167075859031	0.1142107
6.1434520070528205	0.09345658
6.18373693824661	0.07397484
6.224021869440398	0.055880837
6.264306800634188	0.03927193
6.304591731827976	0.02422583
6.344876663021765	0.010732683
6.385161594215554	-0.0012077166
6.425446525409344	-0.011621907
6.465731456603134	-0.020557994
6.506016387796922	-0.028084323
6.546301318990711	-0.03428663
6.5865862501845	-0.039263695
6.626871181378289	-0.04312579
6.667156112572077	-0.04599133
6.707441043765868	-0.047983605
6.747725974959656	-0.049227837
6.788010906153445	-0.049848523
6.828295837347234	-0.04996736
6.8685807685410225	-0.049700458
6.908865699734811	-0.049156442
6.949150630928601	-0.04843483
6.98943556212239	-0.047624353
7.029720493316178	-0.046802144
7.070005424509969	-0.046032704
7.110290355703757	-0.04536744
7.150575286897546	-0.04484504
7.190860218091335	-0.044490527
7.2311451492851235	-0.044317544
7.271430080478912	-0.044325072
7.311715011672702	-0.044497944
7.351999942866491	-0.04481462
7.392284874060279	-0.045245126
7.432569805254069	-0.04575245
7.472854736447857	-0.04629404
7.513139667641646	-0.04682345
7.553424598835436	-0.04729184
7.5937095300292246	-0.047649905
7.633994461223013	-0.047848526
