s	Iatom	Imol
0.020142465596894497	254.95721	228.53757
0.060427396790683485	254.8021	153.5596
0.10071232798447248	254.49287	67.23961
0.14099725917826145	254.03043	18.400494
0.18128219037205046	253.41603	3.9411123
0.22156712156583944	252.65117	1.6429757
0.26185205275962836	251.73807	0.9380536
0.30213698395341737	250.67921	0.6043048
0.3424219151472064	249.4775	0.41637078
0.3827068463409954	248.13646	0.20437795
0.42299177753478445	246.66006	0.087084524
0.4632767087285734	245.05186	0.039343927
0.5035616399223624	243.31613	0.011871592
0.5438465711161514	241.45757	0.018550677
0.5841315023099404	239.48058	0.022359092
0.6244164335037294	237.39052	-0.011497048
0.6647013646975184	235.19283	-0.040729553
0.7049862958913073	232.89278	-0.033027936
0.7452712270850963	230.49542	-0.020376977
0.7855561582788853	228.00655	-0.02575023
0.8258410894726742	225.43185	-0.033581704
0.8661260206664632	222.77661	-0.03389817
0.9064109518602521	220.04735	-0.031048516
0.9466958830540412	217.24968	-0.026857473
0.98698081424783	214.38892	-0.022416426
1.0272657454416192	211.4708	-0.018699177
1.0675506766354081	208.50084	-0.012766156
1.107835607829197	205.48453	-0.0041440264
1.148120539022986	202.42729	0.0032315277
1.188405470216775	199.33511	0.0094805965
1.2286904014105642	196.21252	0.019065965
1.2689753326043531	193.0645	0.033482686
1.309260263798142	189.89606	0.050536733
1.349545194991931	186.71162	0.06714564
1.38983012618572	183.51576	0.07905001
1.430115057379509	180.31311	0.08155357
1.4703999885732981	177.10797	0.073418915
1.5106849197670869	173.90369	0.058639333
1.550969850960876	170.70439	0.04330933
1.591254782154665	167.51357	0.030894082
1.6315397133484542	164.33429	0.021210896
1.671824644542243	161.17015	0.013841298
1.712109575736032	158.02428	0.009262225
1.7523945069298212	154.8992	0.0064390353
1.79267943812361	151.79745	0.0033375693
1.832964369317399	148.72168	-0.00045323197
1.873249300511188	145.67397	-0.0033917353
1.913534231704977	142.65633	-0.0040059327
1.9538191628987658	139.67122	-0.0032013028
1.9941040940925552	136.72005	-0.0031223914
2.034389025286344	133.80434	-0.004087053
2.074673956480133	130.92567	-0.004968952
2.114958887673922	128.0852	-0.005243667
2.155243818867711	125.28403	-0.0051237615
2.1955287500615	122.523445	-0.004894335
2.235813681255289	119.80451	-0.0046263076
2.276098612449078	117.12761	-0.004320162
2.3163835436428672	114.49357	-0.0042745797
2.3566684748366558	111.903	-0.0047007967
2.3969534060304447	109.35607	-0.0050030667
2.437238337224234	106.85344	-0.00464356
2.477523268418023	104.39546	-0.00412702
2.517808199611812	101.982285	-0.003839809
2.558093130805601	99.613884	-0.003595531
2.59837806199939	97.29041	-0.003660256
2.638662993193179	95.01168	-0.0040695434
2.678947924386968	92.77758	-0.004083986
2.719232855580757	90.5883	-0.003638995
2.7595177867745457	88.443405	-0.003426835
2.799802717968335	86.342545	-0.003486665
2.8400876491621236	84.285576	-0.0033434685
2.8803725803559126	82.27201	-0.003036963
2.920657511549702	80.30138	-0.0029556637
2.960942442743491	78.37344	-0.0031037237
3.0012273739372795	76.48781	-0.0032014626
3.041512305131069	74.64377	-0.003192427
3.081797236324858	72.84088	-0.0032475323
3.1220821675186468	71.07864	-0.003402524
3.1623670987124357	69.35633	-0.003411738
3.202652029906224	67.67358	-0.0031266704
3.2429369611000136	66.0298	-0.0027805094
3.283221892293802	64.42427	-0.0025304628
3.323506823487591	62.856365	-0.002207061
3.3637917546813805	61.32553	-0.001880607
3.404076685875169	59.83101	-0.0018632166
3.4443616170689584	58.37214	-0.0019947242
3.4846465482627473	56.94849	-0.0019211046
3.524931479456536	55.55923	-0.0017806924
3.5652164106503252	54.203728	-0.0017622362
3.605501341844114	52.88135	-0.0017447186
3.6457862730379027	51.591347	-0.0017213253
3.686071204231692	50.33308	-0.0017716667
3.7263561354254815	49.105995	-0.0018523354
3.76664106661927	47.909428	-0.001984707
3.806925997813059	46.74263	-0.0021457607
3.8472109290068484	45.60507	-0.0021668074
3.887495860200637	44.496033	-0.002082101
3.927780791394426	43.41482	-0.0020628574
3.968065722588215	42.360973	-0.0020335459
4.008350653782005	41.333813	-0.0018772811
4.048635584975793	40.332672	-0.0017245632
4.0889205161695825	39.357002	-0.001717156
4.129205447363371	38.406174	-0.001837882
4.1694903785571595	37.47956	-0.0020064767
4.209775309750949	36.576645	-0.0020788698
4.250060240944738	35.69691	-0.001953759
4.290345172138527	34.83969	-0.001759438
4.330630103332316	34.00448	-0.0016606936
4.370915034526106	33.19074	-0.0016306326
4.411199965719894	32.399918	-0.0015944616
4.451484896913683	31.620098	-0.0015381018
4.491769828107472	30.861807	-0.001449665
4.532054759301261	30.124985	-0.0013216597
4.57233969049505	29.407913	-0.0011722572
4.612624621688839	28.709803	-0.0010399198
4.652909552882628	28.029976	-0.00096021814
4.693194484076417	27.367966	-0.00090541516
4.733479415270206	26.723269	-0.0007975081
4.773764346463994	26.095312	-0.00062115234
4.814049277657784	25.483746	-0.0004532667
4.854334208851573	24.888042	-0.00034051843
4.894619140045362	24.307775	-0.00024439502
4.934904071239151	23.742584	-0.00014577509
4.97518900243294	23.19204	-6.6233275e-05
5.015473933626729	22.65575	2.0079402e-05
5.055758864820518	22.133318	0.00015305806
5.096043796014307	21.624392	0.00030893434
5.136328727208095	21.128572	0.00044915528
