s	Iatom	Imol
0.020142465596894497	254.95721	254.6959
0.060427396790683485	254.80211	253.59554
0.10071232798447248	254.49287	251.41174
0.14099725917826145	254.03043	248.17026
0.18128219037205046	253.41605	243.90845
0.22156712156583944	252.6512	238.67387
0.26185205275962836	251.73811	232.527
0.30213698395341737	250.67926	225.53676
0.3424219151472064	249.47754	217.7808
0.3827068463409954	248.13654	209.34555
0.42299177753478445	246.66016	200.32281
0.4632767087285734	245.05196	190.80423
0.5035616399223624	243.31625	180.88644
0.5438465711161514	241.4577	170.66771
0.5841315023099404	239.48073	160.24294
0.6244164335037294	237.39069	149.70872
0.6647013646975184	235.19302	139.15756
0.7049862958913073	232.89299	128.67557
0.7452712270850963	230.49565	118.34201
0.7855561582788853	228.00679	108.23224
0.8258410894726742	225.43213	98.4138
0.8661260206664632	222.77692	88.944435
0.9064109518602521	220.04767	79.87818
0.9466958830540412	217.25003	71.25717
0.98698081424783	214.38928	63.114326
1.0272657454416192	211.47119	55.475883
1.0675506766354081	208.50125	48.35955
1.107835607829197	205.48497	41.775436
1.148120539022986	202.42776	35.72654
1.188405470216775	199.33562	30.210375
1.2286904014105642	196.21304	25.21591
1.2689753326043531	193.06505	20.728182
1.309260263798142	189.89662	16.72795
1.349545194991931	186.71222	13.191611
1.38983012618572	183.51637	10.092999
1.430115057379509	180.31375	7.4038258
1.4703999885732981	177.10863	5.0938783
1.5106849197670869	173.90436	3.1315916
1.550969850960876	170.70508	1.4857236
1.591254782154665	167.51428	0.12492168
1.6315397133484542	164.33502	-0.9815726
1.671824644542243	161.17091	-1.8631835
1.712109575736032	158.02504	-2.5481102
1.7523945069298212	154.89998	-3.0629663
1.79267943812361	151.79825	-3.4324257
1.832964369317399	148.72249	-3.6791358
1.873249300511188	145.67479	-3.8237104
1.913534231704977	142.65717	-3.8846333
1.9538191628987658	139.67207	-3.878303
1.9941040940925552	136.7209	-3.8190982
2.034389025286344	133.80522	-3.7194374
2.074673956480133	130.92656	-3.5899153
2.114958887673922	128.0861	-3.439427
2.155243818867711	125.284935	-3.275322
2.1955287500615	122.52435	-3.1035864
2.235813681255289	119.80543	-2.9289763
2.276098612449078	117.12853	-2.7551453
2.3163835436428672	114.4945	-2.5848713
2.3566684748366558	111.90393	-2.4201639
2.3969534060304447	109.35701	-2.2623847
2.437238337224234	106.85438	-2.1124318
2.477523268418023	104.39641	-1.9708005
2.517808199611812	101.98323	-1.8376869
2.558093130805601	99.61483	-1.7130768
2.59837806199939	97.29136	-1.5968333
2.638662993193179	95.01263	-1.4887247
2.678947924386968	92.77853	-1.3884922
2.719232855580757	90.58925	-1.295889
2.7595177867745457	88.44434	-1.2106614
2.799802717968335	86.34348	-1.1325973
2.8400876491621236	84.28651	-1.0615324
2.8803725803559126	82.27294	-0.9973313
2.920657511549702	80.30231	-0.93989605
2.960942442743491	78.37437	-0.8891613
3.0012273739372795	76.48873	-0.8450719
3.041512305131069	74.64468	-0.8075687
3.081797236324858	72.84179	-0.7765899
3.1220821675186468	71.079544	-0.75204813
3.1623670987124357	69.35722	-0.73381996
3.202652029906224	67.67446	-0.72174096
3.2429369611000136	66.030685	-0.7155903
3.283221892293802	64.42514	-0.71508795
3.323506823487591	62.857227	-0.71989226
3.3637917546813805	61.326385	-0.72959656
3.404076685875169	59.831856	-0.7437318
3.4443616170689584	58.372974	-0.7617685
3.4846465482627473	56.949318	-0.783118
3.524931479456536	55.560055	-0.80714834
3.5652164106503252	54.20454	-0.83318526
3.605501341844114	52.882156	-0.86052364
3.6457862730379027	51.59214	-0.88844144
3.686071204231692	50.333862	-0.9162058
3.7263561354254815	49.10677	-0.94308484
3.76664106661927	47.91019	-0.9683646
3.806925997813059	46.74338	-0.9913588
3.8472109290068484	45.605812	-1.0114146
3.887495860200637	44.49677	-1.0279305
3.927780791394426	43.415546	-1.0403608
3.968065722588215	42.36169	-1.0482229
4.008350653782005	41.33452	-1.0511097
4.048635584975793	40.333366	-1.048691
4.0889205161695825	39.35769	-1.0407196
4.129205447363371	38.40685	-1.0270329
4.1694903785571595	37.480225	-1.0075543
4.209775309750949	36.577297	-0.98229593
4.250060240944738	35.697556	-0.9513572
4.290345172138527	34.84033	-0.91491383
4.330630103332316	34.005104	-0.87322485
4.370915034526106	33.191357	-0.82662165
4.411199965719894	32.400524	-0.7756348
4.451484896913683	31.620695	-0.7199132
4.491769828107472	30.862392	-0.6606828
4.532054759301261	30.125563	-0.59857124
4.57233969049505	29.40848	-0.5340969
4.612624621688839	28.71036	-0.4678634
4.652909552882628	28.030525	-0.40049234
4.693194484076417	27.368505	-0.33262786
4.733479415270206	26.723799	-0.26490512
4.773764346463994	26.095835	-0.19793712
4.814049277657784	25.484259	-0.132337
4.854334208851573	24.888546	-0.06866898
4.894619140045362	24.308271	-0.007470758
4.934904071239151	23.74307	0.050758034
4.97518900243294	23.192518	0.10557362
5.015473933626729	22.65622	0.1565833
5.055758864820518	22.13378	0.20345266
5.096043796014307	21.624846	0.24590334
5.136328727208095	21.129017	0.28372368
5.176613658401885	20.64599	0.3167574
5.216898589595674	20.175423	0.34491464
5.257183520789463	19.716913	0.36816964
5.297468451983252	19.270208	0.386548
5.337753383177041	18.83494	0.40013787
5.37803831437083	18.410784	0.40907708
5.418323245564618	17.99751	0.4135513
5.458608176758408	17.594782	0.41379237
5.498893107952196	17.202297	0.4100692
5.539178039145986	16.819798	0.40268412
5.579462970339775	16.447	0.39196667
5.619747901533564	16.083649	0.378268
5.660032832727353	15.72951	0.36195612
5.7003177639211415	15.387731	0.34360388
5.74060269511493	15.0522375	0.32328045
5.780887626308719	14.724322	0.30142656
5.821172557502509	14.404803	0.27847418
5.861457488696297	14.093223	0.2547655
5.901742419890087	13.789402	0.23064515
5.942027351083876	13.493089	0.20643148
5.982312282277665	13.204056	0.1824211
6.022597213471453	12.922188	0.15889321
6.062882144665243	12.647205	0.13608481
6.103167075859031	12.378932	0.1142107
6.1434520070528205	12.117222	0.09345658
6.18373693824661	11.861921	0.07397484
6.224021869440398	11.612818	0.055880837
6.264306800634188	11.369899	0.03927193
6.304591731827976	11.133376	0.02422583
6.344876663021765	10.902583	0.010732683
6.385161594215554	10.67738	-0.0012077166
6.425446525409344	10.457604	-0.011621907
6.465731456603134	10.243118	-0.020557994
6.506016387796922	10.03378	-0.028084323
6.546301318990711	9.829438	-0.03428663
6.5865862501845	9.6299715	-0.039263695
6.626871181378289	9.435252	-0.04312579
6.667156112572077	9.245148	-0.04599133
6.707441043765868	9.059525	-0.047983605
6.747725974959656	8.878252	-0.049227837
6.788010906153445	8.701245	-0.049848523
6.828295837347234	8.52838	-0.04996736
